timeStamp,jointName,position.x,position.y,position.z,rotation.x,rotation.y,rotation.z,rotation.w
0.214155,Body_Start,0.00214171,-1.119921,-0.4494399,0,-0.0225468,0,0.9997458
0.214155,Body_Hips,0.00214171,-0.1904313,-0.4494399,0.4208397,-0.5448673,-0.4505924,0.5683134
0.214155,Body_SpineLower,0.0004315525,-0.1788438,-0.4850892,0.4233887,-0.5396339,-0.4476447,0.5737171
0.214155,Body_SpineMiddle,-0.0005218089,-0.0707317,-0.4962908,0.4624681,-0.4928257,-0.4972052,0.5440893
0.214155,Hand_Thumb2,-0.004464265,0.03534836,-0.5255366,0.4781465,-0.4762666,-0.5083877,0.5348719
0.214155,Body_Chest,-0.008231783,0.2156866,-0.5125066,0.4870387,-0.4805251,-0.5017378,0.5292903
0.214155,Body_Neck,-0.008751096,0.333206,-0.4591317,0.4942826,-0.4343135,-0.5500852,0.5142595
0.214155,Hand_Index2,-0.009966772,0.4021127,-0.4524084,0.4432222,-0.4863102,-0.4898416,0.5719369
0.214155,Hand_Index3,-0.03125199,0.2689978,-0.411217,0.6983769,-0.06300571,0.2136715,0.6801798
0.214155,Hand_Middle1,-0.1745269,0.2737606,-0.4936587,0.6645566,0.0565109,0.158736,0.727993
0.214155,FullBody_LeftArmUpper,-0.1787576,0.2417241,-0.4911574,0.4715617,0.6376565,0.2851324,0.5382597
0.214155,XRHand_MiddleMetacarpal,-0.1848169,0.01889855,-0.3892101,-0.213478,0.7638084,-0.2495701,0.5556426
0.214155,Hand_Ring1,-0.1223265,0.1503763,-0.2228271,-0.2281146,0.8111864,-0.1826164,0.5065488
0.214155,Hand_Ring2,0.02388736,0.2708383,-0.4147429,0.6806393,-0.2353737,-0.175291,-0.6712694
0.214155,XRHand_MiddleDistal,0.1466339,0.2938877,-0.5231391,0.7354795,-0.1798033,-0.05576225,-0.6508698
0.214155,XRHand_MiddleTip,0.1550146,0.2625877,-0.5221453,0.5461228,-0.247656,0.5967614,-0.5331907
0.214155,Hand_Pinky1,0.1956439,0.04016328,-0.4275095,0.5399519,0.2608364,0.7916806,0.116868
0.214155,Body_RightHandWristTwist,0.1117729,0.1415761,-0.2498707,0.4324209,-0.08334897,0.8535084,0.2785471
0.214155,FullBody_LeftHandPalm,-0.1144449,0.2292203,-0.1935638,0.3425263,0.1817077,-0.5897032,0.7084548
0.214155,XRHand_RingDistal,-0.1069205,0.2032595,-0.2170369,0.3425263,0.1817077,-0.5897032,0.7084548
0.214155,Body_LeftHandThumbMetacarpal,-0.09201586,0.2458896,-0.2048494,0.5318245,-0.4845967,-0.6276716,0.2972494
