dirx,diry,dirz,bx,by,bz,timeStamp,object
0.07329004,-0.777151,0.6250319,-65.23385,81.00071,0,0.1751132,[City]AmsterdamBlue
0.06610916,-0.7764624,0.6266863,-77.75381,82.79488,0,0.2012253,[City]AmsterdamBlue
0.06121502,-0.7793561,0.6235838,-84.7587,75.55032,0,0.2215805,[City]AmsterdamBlue
0.07156418,-0.776688,0.625807,-72.11014,80.52976,0,0.2419252,[City]AmsterdamBlue
0.08337431,-0.7769664,0.6239968,-54.86081,77.55832,0,0.2876749,[City]AmsterdamBlue
0.08928405,-0.7810524,0.6180499,-44.07903,66.08241,0,0.3000751,[Board]
0.09443775,-0.7797234,0.6189612,-34.77841,69.35378,0,0.325212,[Board]
0.09755249,-0.7794899,0.6187722,-28.31348,70.00932,0,0.3539305,[CityCard]AmsterdamBlue
0.09934145,-0.7771432,0.6214336,-24.00198,76.23182,0,0.3685584,[CityCard]AmsterdamBlue
0.09889431,-0.7771958,0.6214392,-24.53256,76.04719,0,0.3781786,[CityCard]AmsterdamBlue
0.09963462,-0.7773831,0.6210865,-22.26848,75.62836,0,0.3942623,[CityCard]AmsterdamBlue
0.1008528,-0.7778832,0.6202633,-19.57849,74.31054,0,0.4065289,[CityCard]AmsterdamBlue
0.09024397,-0.7796519,0.6196765,-31.40321,72.03803,0,0.4197569,[CityCard]AmsterdamBlue
0.09095798,-0.7800211,0.6191071,-29.06259,70.92857,0,0.4322405,[CityCard]AmsterdamBlue
0.09137788,-0.7806339,0.6182724,-27.01644,69.44192,0,0.4461017,[CityCard]AmsterdamBlue
0.08776443,-0.7778838,0.6222493,-29.58572,77.33443,0,0.4596133,[CityCard]AmsterdamBlue
0.08814698,-0.7786262,0.6212659,-27.55923,75.89043,0,0.4727578,[CityCard]AmsterdamBlue
0.08161664,-0.7786909,0.6220765,-35.80572,77.13494,0,0.4864869,[CityCard]AmsterdamBlue
0.08214409,-0.7788322,0.6218301,-33.28191,77.05824,0,0.5043588,[CityCard]AmsterdamBlue
0.08303418,-0.7789891,0.6215153,-30.27735,76.718,0,0.5199018,[CityCard]AmsterdamBlue
0.06872287,-0.7819214,0.6195773,-46.51011,71.35471,0,0.5262494,[City]AmsterdamBlue
0.06972088,-0.7822461,0.6190557,-43.29144,70.40054,0,0.5403314,[Board]
0.06773651,-0.7833158,0.6179225,-44.05908,67.99669,0,0.5537734,[Board]
0.06845142,-0.7838225,0.6172007,-41.28704,66.63074,0,0.5670485,[Board]
0.06921007,-0.7844716,0.6162907,-38.37646,64.90075,0,0.5805383,[Board]
0.06332941,-0.7867248,0.6140468,-43.70795,59.83063,0,0.5954137,[City]HamburgBlue
0.06440698,-0.7878963,0.6124306,-40.2378,56.7123,0,0.6129947,[City]HamburgBlue
0.06495454,-0.7889907,0.6109619,-37.67161,53.53421,0,0.6227679,[City]HamburgBlue
0.06231448,-0.7854857,0.6157346,-38.95633,62.78121,0,0.6356339,[Board]
0.06322775,-0.7862691,0.6146407,-36.50916,60.49258,0,0.6501899,[City]HamburgBlue
0.05890897,-0.7880582,0.6127757,-40.47589,56.64684,0,0.6690784,[City]HamburgBlue
0.05937922,-0.7885165,0.6121404,-38.48694,55.6111,0,0.6804147,[City]HamburgBlue
0.05984855,-0.7890138,0.6114536,-36.56684,54.18234,0,0.6902366,[CityCard]MoscowRed
0.06243377,-0.8305379,0.5534517,-35.962,-51.92645,0,0.7049012,[CityCard]MoscowRed
0.06272773,-0.8310438,0.5526586,-34.53924,-53.5737,0,0.7185025,[CityCard]MoscowRed
0.05509334,-0.8480837,0.5269903,-43.66491,-95.92318,0,0.732182,[CityCard]MoscowRed
0.05506828,-0.8482142,0.5267829,-42.82152,-96.29076,0,0.7469764,[CityCard]MoscowRed
0.05419424,-0.8485166,0.5263864,-43.05677,-97.1551,0,0.7610621,[CityCard]MoscowRed
0.05416872,-0.8487733,0.5259749,-42.40993,-98.25879,0,0.7743678,[CityCard]MoscowRed
0.05358563,-0.8492295,0.5252979,-42.33212,-99.5791,0,0.789535,[CityCard]MoscowRed
0.03803594,-0.8493077,0.5265261,-59.79137,-98.10091,0,0.8049579,[CityCard]MoscowRed
0.03796585,-0.8496538,0.5259725,-59.20501,-99.10264,0,0.8255668,[CityCard]MoscowRed
0.03339054,-0.8487383,0.5277579,-63.59969,-96.38869,0,0.8383222,[CityCard]MoscowRed
0.03152371,-0.8478308,0.5293291,-64.86164,-93.43678,0,0.8453107,[CityCard]MoscowRed
0.03165354,-0.8490774,0.5273193,-64.73891,-96.77187,0,0.8571258,[CityCard]MoscowRed
0.03097517,-0.8495265,0.5266358,-65.67076,-98.14669,0,0.8706832,[CityCard]MoscowRed
0.03051363,-0.8498199,0.5261891,-65.88864,-98.96752,0,0.8878522,[CityCard]MoscowRed
0.03027257,-0.8488364,0.5277882,-66.87025,-97.20308,0,0.8994517,[CityCard]MoscowRed
0.02930414,-0.8499084,0.526115,-68.28841,-100.8082,0,0.9124494,[City]WarsawRed
0.02885743,-0.8516383,0.5233349,-69.05441,-106.3181,0,0.9276567,[City]WarsawRed
0.02920912,-0.8546349,0.5184072,-68.93763,-115.8359,0,0.9415431,[City]WarsawRed
0.02941397,-0.8585042,0.5119622,-68.6004,-130.9653,0,0.9555497,[City]WarsawRed
0.02997308,-0.8638648,0.5028312,-67.75889,-148.2498,0,0.9786735,[Board]
0.03075106,-0.8694413,0.4930784,-66.62702,-166.942,0,0.9899526,[Board]
0.03497442,-0.8748654,0.4831019,-61.63738,-185.2448,0,1.001276,[Board]
