timeStamp,BrowLowererL,BrowLowererR,CheekPuffL,CheekPuffR,CheekRaiserL,CheekRaiserR,CheekSuckL,CheekSuckR,ChinRaiserB,ChinRaiserT,DimplerL,DimplerR,EyesClosedL,EyesClosedR,EyesLookDownL,EyesLookDownR,EyesLookLeftL,EyesLookLeftR,EyesLookRightL,EyesLookRightR,EyesLookUpL,EyesLookUpR,InnerBrowRaiserL,InnerBrowRaiserR,JawDrop,JawSidewaysLeft,JawSidewaysRight,JawThrust,LidTightenerL,LidTightenerR,LipCornerDepressorL,LipCornerDepressorR,LipCornerPullerL,LipCornerPullerR,LipFunnelerLB,LipFunnelerLT,LipFunnelerRB,LipFunnelerRT,LipPressorL,LipPressorR,LipPuckerL,LipPuckerR,LipStretcherL,LipStretcherR,LipSuckLB,LipSuckLT,LipSuckRB,LipSuckRT,LipTightenerL,LipTightenerR,LipsToward,LowerLipDepressorL,LowerLipDepressorR,MouthLeft,MouthRight,NoseWrinklerL,NoseWrinklerR,OuterBrowRaiserL,OuterBrowRaiserR,UpperLidRaiserL,UpperLidRaiserR,UpperLipRaiserL,UpperLipRaiserR,TongueTipInterdental,TongueTipAlveolar,TongueFrontDorsalPalate,TongueMidDorsalPalate,TongueBackDorsalVelar,TongueOut,TongueRetreat
0.5289015,0.0508366,6.242995E-05,0,0,0.1620555,0.1627085,0,0,0.01086528,0.003063698,0.3740217,0.3648972,0.1609022,4.656613E-09,0.1682419,0.008176794,0.3563628,0.4523695,0,0,0,0,0.000353285,0.002206766,0.01086538,2.309292E-38,1.161982E-37,1.945645E-37,7.846513E-07,0.009452295,0.01086564,5.64626E-07,0.2896205,0.3185835,0,0,0,9.615833E-38,1.65057E-29,1.38442E-29,0.01086528,0.0009624885,0.02309201,0.01086539,0.1037741,0.06870801,0.06741072,0.05744366,5.315125E-42,1.401298E-45,0.01367249,2.706492E-37,1.401298E-45,2.777921E-37,0,1.401298E-45,2.44947E-42,6.942961E-34,3.893913E-24,0,0,0.05485174,0.03068228,1.584551E-05,0.0001050047,1.540486E-06,4.676477E-06,2.989548E-05,0,6.484344E-05
0.6349193,0.05694865,2.913264E-05,0,0,0.1602594,0.1632024,0,0,0.01086556,0.0003224228,0.3515467,0.3344785,0.001051468,0,0.00105663,5.16203E-06,0.3445023,0.4395153,0,0,0,0,0.000163566,0.002566002,0.01086558,5.697636E-39,2.866919E-38,4.800423E-38,1.928678E-07,0.01054864,0.01086564,0.005046723,0.2728777,0.3021923,0,0,0,2.372482E-38,4.072394E-30,3.415733E-30,0.01086556,0.0001584005,0.01996157,0.01086558,0.1032767,0.0656183,0.06536248,0.05464277,1.311615E-42,1.401298E-45,0.01360391,6.677636E-38,1.401298E-45,6.853871E-38,0,1.401298E-45,6.039596E-43,3.24494E-34,1.819903E-24,0,0,0.04618326,0.03244783,1.199794E-05,3.780012E-05,1.378673E-06,1.831946E-06,8.062279E-06,0,2.282127E-05
0.7358105,0.06498185,1.645747E-05,0,0,0.06766045,0.05661049,0,0,0.001252242,8.009986E-05,0.0003972299,0.0003901725,0.001253011,0,0.001253096,8.501966E-08,0.3831386,0.4775456,0,0,0,0,0.0008091312,0.004041793,0.002423545,1.994559E-39,1.003616E-38,1.680474E-38,6.742004E-08,0.001250455,0.01086564,0.009999922,0.0004012124,0.0003698418,0,0,0,8.305298E-39,1.425615E-30,1.195739E-30,0.001252242,4.732102E-05,0.002325119,0.002426316,0.001080837,0.001550305,0.001485826,0.001528573,4.596259E-43,1.401298E-45,0.007584328,2.337626E-38,1.401298E-45,2.39932E-38,0,1.401298E-45,2.115961E-43,1.834203E-34,1.0287E-24,0,0,0.001686392,0.001669224,1.137847E-05,1.801709E-05,1.370818E-06,1.092592E-06,4.29717E-06,0,1.086142E-05
0.847899,0.0993207,9.29952E-06,0,0,0.05604132,0.05547296,0,0,0.0002224711,2.298641E-05,1.115843E-07,1.195599E-07,3.178556E-06,0,3.182264E-06,3.708208E-09,0.4216506,0.515021,0,0,0,0,0.003969932,0.005311394,0.0003791565,6.982376E-40,3.513371E-39,5.882853E-39,2.358267E-08,0.009199939,0.01086564,0.01068433,2.205991E-07,1.545239E-07,0,0,0,2.907443E-39,4.990663E-31,4.185935E-31,0.0002224711,1.512983E-05,0.0002375009,0.0003800539,7.151042E-06,2.559621E-05,2.344698E-05,3.521859E-05,1.611493E-43,1.401298E-45,0.005834263,8.183352E-39,1.401298E-45,8.399326E-39,0,1.401298E-45,7.426882E-44,1.036789E-34,5.814762E-25,0,0,4.669392E-05,9.607579E-05,1.190196E-05,1.162784E-05,1.451584E-06,8.923965E-07,3.68314E-06,0,7.084831E-06
0.9599841,0.1190635,4.345318E-06,0,0,0.05433578,0.04086171,0,0,3.345817E-05,4.931292E-06,2.08187E-11,2.480808E-11,7.787802E-09,0,7.959351E-09,1.715491E-10,0.442436,0.5371358,0,0,0,0,0.007637552,0.003972061,5.168141E-05,1.722742E-40,8.668418E-40,1.451457E-39,5.815203E-09,0.01020398,0.01086564,0.01083475,9.287111E-11,4.673448E-11,0,0,0,7.173443E-40,1.231329E-31,1.032782E-31,3.345817E-05,3.504153E-06,2.299053E-05,5.185312E-05,5.108127E-08,4.692118E-07,4.108704E-07,8.952267E-07,3.923636E-44,1.401298E-45,0.005495501,2.019051E-39,1.401298E-45,2.072337E-39,0,1.401298E-45,1.821688E-44,4.845654E-35,2.717652E-25,0,0,1.415612E-06,5.698316E-06,1.265638E-05,9.185864E-06,1.547701E-06,8.796151E-07,3.721702E-06,0,5.637364E-06
1.071276,0.1095573,2.456E-06,0,0,0.05432861,0.05035046,0,0,9.638455E-06,1.635848E-06,1.582373E-13,2.019938E-13,2.69429E-10,0,2.990481E-10,2.96192E-11,0.4349944,0.5297947,0,0,0,0,0.005474919,0.002922775,1.430201E-05,6.030908E-41,3.034596E-40,5.081178E-40,2.035316E-09,0.01006299,0.01086564,0.01085629,1.187721E-12,4.846752E-13,0,0,0,2.511239E-40,4.310566E-32,3.615501E-32,9.638455E-06,1.197352E-06,5.512212E-06,1.435514E-05,3.451673E-09,5.183575E-08,4.437233E-08,1.162869E-07,1.401298E-44,1.401298E-45,0.005451154,7.068177E-40,1.401298E-45,7.254718E-40,0,1.401298E-45,5.605194E-45,2.739036E-35,1.536169E-25,0,0,2.002737E-07,1.101916E-06,1.317864E-05,8.641037E-06,1.640026E-06,9.252137E-07,3.878181E-06,0,5.337245E-06
1.183002,0.04014065,1.388091E-06,0,0,0.0559724,0.03985398,0,0,3.016939E-06,5.553637E-07,3.705808E-15,5.005827E-15,0.8040021,0,0.2670349,6.810952E-12,0.140915,0.2320439,0,0,0,0,0.00285013,0.001574943,0.109813,2.110916E-41,1.062184E-40,1.778556E-40,7.123307E-10,0.002686096,0.01086564,0.005039588,4.240778E-14,1.462613E-14,0,0,0,8.790065E-41,1.508817E-32,1.265525E-32,0.01892509,0.01901958,1.548527E-06,4.390295E-06,0.004498655,0.00508356,7.552367E-09,0.005236044,5.605194E-45,1.401298E-45,0.07012869,2.474063E-40,1.401298E-45,2.539349E-40,0,1.401298E-45,1.401298E-45,1.548136E-35,8.682614E-26,0,0,4.061562E-08,2.717826E-07,1.424302E-05,8.66901E-06,1.760632E-06,1.064222E-06,4.260667E-06,0,5.394937E-06
1.29455,0.007988319,7.846579E-07,0,0,0.04364592,0.04212653,0,0,9.910948E-07,1.911051E-07,2.122759E-16,2.99354E-16,0.4897324,0,0.3897651,1.866866E-12,0,0,0.1509318,0.06119962,0,0,0.001537543,0.0008665146,0.1679514,7.391849E-42,0.008447356,6.22695E-41,2.493802E-10,0.0004618899,0.01086564,0.000704873,3.332519E-15,1.014537E-15,0,0,0,3.077532E-41,5.282587E-33,4.430787E-33,0.04139853,0.04212274,4.77832E-07,1.423135E-06,0.009360997,0.009761343,0.001731127,0.009853045,1.401298E-45,1.401298E-45,0.1108031,8.661986E-41,1.401298E-45,0.009621718,0,1.401298E-45,1.401298E-45,8.751526E-36,4.908232E-26,0,0,1.031787E-08,7.767812E-08,1.545453E-05,9.210132E-06,1.929805E-06,1.300085E-06,4.835566E-06,0,5.786782E-06
1.406053,0.002025077,3.667002E-07,0,0,0.04306357,0.03985403,0,0,0.00242929,0.002470735,1.253252E-17,1.835646E-17,0.0332979,0,0.03329666,3.874549E-13,0.4041927,0.4983066,0,0,0,0,0.0006955765,0.0003974199,0.2134258,1.824491E-42,0.01064568,0.009621988,6.152036E-11,6.772819E-05,0.005782986,8.795379E-05,2.588365E-16,7.079883E-17,0,0,0,7.592235E-42,1.303239E-33,1.093096E-33,0.06474512,0.06473297,1.079135E-07,3.327414E-07,0.01058531,0.01934927,0.005771078,0.01071194,0.009621988,0.009621988,0.1293088,2.13698E-41,1.401298E-45,0.01073348,0,1.401298E-45,0.009621988,4.089998E-36,2.293847E-26,0,0,2.026772E-09,1.66128E-08,0,0,0,0,0,1,0
1.517742,0.0008337006,2.072866E-07,0,0,0.05637717,0.05229438,0,0,0.0007154926,0.0007362916,2.418886E-18,3.60388E-18,0.3092236,0,0.2980081,1.268978E-13,0.2244817,0.3173899,0,0,0,0,0.0003883384,0.0007578729,0.1829769,6.389921E-43,0.01081429,0.003173579,2.153782E-11,0.02181813,0.009593634,2.3471E-05,5.642963E-17,1.472445E-17,0,0,0,2.658263E-42,4.562628E-34,3.826919E-34,0.06641142,0.06643166,3.652107E-08,1.141229E-07,0.01077764,0.02148632,0.004153315,0.01082119,0.01064566,0.00554863,0.1165764,7.481533E-42,1.401298E-45,0.005279461,0,1.401298E-45,0.003173579,2.311993E-36,1.296665E-26,0,0,6.496597E-10,0.008392309,0,0,0,0,0,0.66661,0
1.628619,0.0003110938,9.687928E-08,0,0,0.05833688,0.05616816,0,0,0.005929269,0.005938199,3.874687E-19,5.84785E-19,9.421042E-05,0,9.421042E-05,2.988872E-14,0,0,0.2576437,0.1685577,0,0,0.002069997,0.001585015,0.2111598,0.003800456,0.01085616,0.01012114,5.313888E-12,0.07488111,0.008526968,4.778706E-06,9.905464E-18,2.495237E-18,0,0,0,6.558077E-43,1.125722E-34,9.442026E-35,0.09068107,0.09080897,8.801058E-09,2.775857E-08,0.01084552,0.0523922,0.008449065,0.03538918,0.00976909,0.009508882,0.1469425,1.84551E-42,1.401298E-45,0.0004840749,0,1.401298E-45,0.0004457999,1.080559E-36,6.060238E-27,0,0,1.507238E-10,0.001221873,2.119311E-05,1.386966E-05,2.494123E-06,2.624134E-06,7.405707E-06,0,9.165798E-06
